titre,titre_original,score,genre,date,duree,synopsis,public,acteurs,langue_originale,pays_original
Shining,Original title: The Shining,8.4,"Drama,Horror","October 16, 1980 (France)","2,h, ,26,m","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",12,"Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,Barry Nelson,Philip Stone,Joe Turkel,Anne Jackson,Tony Burton,Lia Beldam,Billie Gibson,Barry Dennen,David Baxt,Manning Redwood,Lisa Burns,Louise Burns,Robin Pappas,Alison Coleridge",English,United Kingdom
Témoin à charge,Original title: Witness for the Prosecution,8.4,"Crime,Drama,Mystery","February 19, 1958 (France)","1,h, ,56,m",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Tous publics,"Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,John Williams,Henry Daniell,Ian Wolfe,Torin Thatcher,Norma Varden,Una O'Connor,Francis Compton,Philip Tonge,Ruta Lee,Patrick Aherne,Don Ames,Walter Bacon,Eddie Baker,Benjie Bancroft",English,United States
Les Évadés,Original title: The Shawshank Redemption,9.3,Drama,"March 1, 1995 (France)","2,h, ,22,m","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Tous publics,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,Mark Rolston,James Whitmore,Jeffrey DeMunn,Larry Brandenburg,Neil Giuntoli,Brian Libby,David Proval,Joseph Ragno,Jude Ciccolella,Paul McCrane,Renee Blaine,Scott Mann",English,United States
,Original title: Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,"Comedy,War","April 10, 1964 (France)","1,h, ,35,m","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Tous publics,"Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,Slim Pickens,Peter Bull,James Earl Jones,Tracy Reed,Jack Creley,Frank Berry,Robert O'Neil,Glenn Beck,Roy Stephens,Shane Rimmer,Hal Galili,Paul Tamarin,Laurence Herder,Gordon Tanner",English,United Kingdom
Joker,,8.4,"Crime,Drama,Thriller","October 9, 2019 (France)","2,h, ,2,m","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",12 avec avertissement,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,Brett Cullen,Shea Whigham,Bill Camp,Glenn Fleshler,Leigh Gill,Josh Pais,Rocco Luna,Marc Maron,Sondra James,Murphy Guyer,Douglas Hodge,Dante Pereira-Olson,Carrie Louise Putrello,Sharon Washington",English,United States
Princesse Mononoké,Original title: Mononoke-hime,8.4,"Animation,Action,Adventure","January 12, 2000 (France)","2,h, ,14,m","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Tous publics,"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,Billy Bob Thornton,Minnie Driver,John DiMaggio,Claire Danes,John DeMita,Jada Pinkett Smith,Gillian Anderson,Keith David,Corey Burton,Tara Strong,Julia Fletcher,Debi Derryberry,Alex Fernandez,Jack Fletcher",Japanese,Japan
Old Boy,Original title: Oldeuboi,8.4,"Action,Drama,Mystery","September 29, 2004 (France)","2,h","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",16,"Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok,Dae-han Ji,Dal-su Oh,Seung-shin Lee,Jin-Seo Yoon,Tae-kyung Oh,Yoo Yeon-Seok,Il-han Oo,Young-hee Lee,Young-ae Kim,Mi Mi Lee,Jae-Duk Han,Jung Ae Kwak,San Kim,Chae-soo Jang",Korean,South Korea
Django Unchained,,8.4,"Drama,Western","January 16, 2013 (France)","2,h, ,45,m","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",12,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson,Walton Goggins,Dennis Christopher,James Remar,David Steen,Dana Gourrier,Nichole Galicia,Laura Cayouette,Ato Essandoh,Sammi Rotibi,Clay Donahue Fontenot,Escalante Lundy,Miriam F. Glover,Don Johnson",English,United States
,Original title: Spider-Man: Into the Spider-Verse,8.4,"Animation,Action,Adventure","December 12, 2018 (France)","1,h, ,57,m","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Tous publics,"Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Brian Tyree Henry,Lily Tomlin,Luna Lauren Velez,Zoë Kravitz,John Mulaney,Kimiko Glenn,Nicolas Cage,Kathryn Hahn,Liev Schreiber,Chris Pine,Natalie Morales,Edwin R. Habacon,Oscar Isaac,Greta Lee",English,United States
WALL·E,,8.4,"Animation,Adventure,Family","July 30, 2008 (France)","1,h, ,38,m","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Tous publics,"Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,MacInTalk,John Ratzenberger,Kathy Najimy,Sigourney Weaver,Teddy Newton,Bob Bergen,John Cygan,Pete Docter,Paul Eiding,Donald Fullilove,Teresa Ganzel,Jess Harnell,Sherry Lynn,Mickie McGowan",English,United States
La Vie des autres,Original title: Das Leben der Anderen,8.4,,"January 31, 2007 (France)","2,h, ,17,m","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Tous publics,"Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,Thomas Thieme,Hans-Uwe Bauer,Volkmar Kleinert,Matthias Brenner,Charly Hübner,Herbert Knaup,Bastian Trost,Marie Gruber,Volker Michalowski,Werner Daehn,Martin Brambach,Hubertus Hartmann,Thomas Arnold,Hinnerk Schönemann",German,Germany
,Original title: Sunset Blvd.,8.4,"Drama,Film-Noir","April 20, 1951 (France)","1,h, ,50,m",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Tous publics,"William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,Fred Clark,Lloyd Gough,Jack Webb,Franklyn Farnum,Larry J. Blake,Charles Dayton,Cecil B. DeMille,Hedda Hopper,Buster Keaton,Anna Q. Nilsson,H.B. Warner,Ray Evans,Jay Livingston,Fred Aldrich",English,United States
Le Dictateur,Original title: The Great Dictator,8.4,"Comedy,Drama,War","April 4, 1945 (France)","2,h, ,5,m",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Tous publics,"Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,Henry Daniell,Billy Gilbert,Grace Hayle,Carter DeHaven,Maurice Moscovitch,Emma Dunn,Bernard Gorcey,Paul Weigel,Chester Conklin,Esther Michelson,Hank Mann,Florence Wright,Eddie Gribbon,Rudolph Anders",English,United States
Avengers: Infinity War,,8.4,"Action,Adventure,Sci-Fi","April 25, 2018 (France)","2,h, ,29,m",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Tous publics,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Don Cheadle,Benedict Cumberbatch,Tom Holland,Chadwick Boseman,Zoe Saldana,Karen Gillan,Tom Hiddleston,Paul Bettany,Elizabeth Olsen,Anthony Mackie,Sebastian Stan,Idris Elba,Danai Gurira",English,United States
,Original title: Paths of Glory,8.4,"Drama,War","March 26, 1975 (France)","1,h, ,28,m","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",(Banned),"Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,Wayne Morris,Richard Anderson,Joe Turkel,Christiane Kubrick,Jerry Hausner,Peter Capell,Emile Meyer,Bert Freed,Kem Dibbs,Timothy Carey,Fred Bell,John Stein,Harold Benedict,Leon Briggs",English,United States
,Original title: Raiders of the Lost Ark,8.4,"Action,Adventure","September 16, 1981 (France)","1,h, ,55,m","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Tous publics,"Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,Ronald Lacey,Denholm Elliott,Alfred Molina,Wolf Kahler,Anthony Higgins,Vic Tablian,Don Fellows,William Hootkins,Bill Reimbold,Fred Sorenson,Patrick Durkin,Matthew Scurfield,Malcolm Weaver,Sonny Caldinez",English,United States
Princess Bride,Original title: The Princess Bride,8.1,"Adventure,Family,Fantasy","March 9, 1988 (France)","1,h, ,38,m","While homesick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Tous publics,"Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon,Christopher Guest,Wallace Shawn,André the Giant,Fred Savage,Peter Falk,Peter Cook,Mel Smith,Carol Kane,Billy Crystal,Anne Dyson,Margery Mason,Malcolm Storry,Willoughby Gray,Betsy Brantley",English,United Kingdom
,"Original title: Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,"Animation,Action,Drama","June 21, 2019 (France)","1,h, ,27,m",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,12,"Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,Kotono Mitsuishi,Yuriko Yamaguchi,Fumihiko Tachiki,Akira Ishida,Motomu Kiyokawa,Mugihito,Takehito Koyasu,Hiro Yûki,Miki Nagasawa,Spike Spencer,Amanda Winn Lee,Tiffany Grant,Allison Keith,Sue Ulu,Tristan MacAvery",Japanese,Japan
"Paris, Texas",,8.1,Drama,"September 19, 1984 (France)","2,h, ,25,m","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Tous publics,"Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Sam Berry,Bernhard Wicki,Aurore Clément,Claresie Mobley,Hunter Carson,Viva,Socorro Valdez,Edward Fayton,Justin Hogg,Tom Farrell,John Lurie,Jeni Vici,Sally Norvell,Sharon Menzel,The Mydolls",English,West Germany
Soorarai Pottru,,9.1,Drama,"November 11, 2020 (France)","2,h, ,33,m","Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",18,"Suriya,Paresh Rawal,Aparna Balamurali,Gaurav Pareek,Vinodhini Vaidynathan,Urvashi,Prakash Belawadi,Dan Dhanoa,Mohan Babu,Supergood Subramani,Malini Sathappan,Karunas,Kaali Venkat,Achyuth Kumar,Alysha Melani,'Poo' Ram,R.S. Shivaji,Gnanasambandam",Tamil,India
La bataille d'Alger,Original title: La battaglia di Algeri,8.1,"Drama,War","October 21, 1971 (France)","2,h, ,1,m","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Tous publics,"Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,Ugo Paletti,Fusia El Kader,Mohamed Ben Kassen,Franco Moruzzi,Tommaso Neri,Rouïched,Gene Wesson",Arabic,Italy
Before Sunset,,8.1,"Drama,Romance","March 16, 2005 (France)","1,h, ,20,m","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Tous publics,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,Rodolphe Pauly,Mariane Plasteig,Diabolo,Denis Evrard,Albert Delpy,Marie Pillet",English,United States
Amours chiennes,Original title: Amores perros,8.1,"Drama,Thriller","November 1, 2000 (France)","2,h, ,34,m","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",12,"Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,Vanessa Bauche,Jorge Salinas,Marco Pérez,Rodrigo Murray,Humberto Busto,Gerardo Campbell,Rosa María Bianchi,Dunia Saldívar,Adriana Barraza,José Sefami,Lourdes Echevarría,Laura Almela,Ricardo Dalmacci,Gustavo Sánchez Parra",Spanish,Mexico
Rocky,,8.1,"Drama,Sport","March 25, 1977 (France)","2,h",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,Tous publics,"Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Burgess Meredith,Thayer David,Joe Spinell,Jimmy Gambina,Bill Baldwin,Al Silvani,George Memmoli,Jodi Letizia,Diana Lewis,George O'Hanlon,Larry Carroll,Stan Shaw,Don Sherman,Billy Sands",English,United States
,Original title: Kaze no tani no Naushika,8.1,"Animation,Adventure,Sci-Fi","August 23, 2006 (France)","1,h, ,57,m",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Tous publics,"Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,Ichirô Nagai,Kôhei Miyauchi,Jôji Yanami,Minoru Yada,Rihoko Yoshida,Masako Sugaya,Takako Sasuga,Chika Sakamoto,Tarako,Yôji Matsuda,Mîna Tominaga,Mugihito,Akiko Tsuboi,Yoshiko Sakakibara",Japanese,Japan
Into the Wild,,8.1,"Adventure,Biography,Drama","January 9, 2008 (France)","2,h, ,28,m","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Tous publics,"Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,William Hurt,Jena Malone,Brian H. Dierker,Kristen Stewart,Hal Holbrook,Jim Gallien,James O'Neill,Malinda McCollum,Paul Knauls,Zach Galifianakis,Craig Mutsch,Jim Beidler,John Decker,John Hofer",English,United States
Andreï Roublev,Original title: Strasti po Andreyu,8.1,"Biography,Drama,History",December 1969 (France),"3,h, ,25,m","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",R,"Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev,Irina Tarkovskaya,Nikolay Burlyaev,Yuriy Nazarov,Yuriy Nikulin,Rolan Bykov,Nikolay Grabbe,Mikhail Kononov,Stepan Krylov,Bolot Beyshenaliev,B. Matysik,Anatoliy Obukhov,Vladimir Titov,Nikolay Glazkov,K. Aleksandrov",Russian,Soviet Union
New York - Miami,Original title: It Happened One Night,8.1,"Comedy,Romance","September 12, 1934 (France)","1,h, ,45,m","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",Tous publics,"Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,Jameson Thomas,Alan Hale,Arthur Hoyt,Blanche Friderici,Charles C. Wilson,Ernie Adams,Jessie Arnold,Irving Bacon,William Bailey,William Begg,William A. Boardway,Ward Bond,Harry C. Bradley,George P. Breakston",English,United States
In the Mood for Love,Original title: Fa yeung nin wah,8.1,"Drama,Romance","November 8, 2000 (France)","1,h, ,38,m","Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Tous publics,"Tony Chiu-Wai Leung,Maggie Cheung,Siu Ping-Lam,Tung Cho 'Joe' Cheung,Rebecca Pan,Kelly Lai Chen,Man-Lei Chan,Kam-Wah Koo,Szu-Ying Chien,Paulyn Sun,Roy Cheung,Po-chun Chow,Hsien Yu,Julien Carbon,Laurent Courtiaud,Charles de Gaulle",Cantonese,Hong Kong
Eskiya le bandit,Original title: Eskiya,8.2,,"May 27, 1998 (France)","2,h, ,1,m","Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Tous publics,"Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim,Kamran Usluer,Ülkü Duru,Özkan Ugur,Necdet Mahfi Ayral,Kayhan Yildizoglu,Güven Hokna,Kemal Inci,Melih Çardak,Settar Tanriögen,Celal Perk,Ümit Çirak,Riza Sönmez,Romina Özipekçi,Kezban Sardan",Turkish,Turkey
Rush,,8.1,"Action,Biography,Drama","September 25, 2013 (France)","2,h, ,3,m",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Tous publics,"Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Pierfrancesco Favino,David Calder,Natalie Dormer,Stephen Mangan,Christian McKay,Alistair Petrie,Julian Rhind-Tutt,Colin Stinton,Jamie de Courcey,Augusto Dallara,Ilario Calvo,Patrick Baladi,Vincent Riotta,Martin Savage",English,United Kingdom
Hôtel Rwanda,Original title: Hotel Rwanda,8.1,"Biography,Drama,History","March 30, 2005 (France)","2,h, ,1,m","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Tous Public,"Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,Desmond Dube,Hakeem Kae-Kazim,Tony Kgoroge,Rosie Motene,Neil McCarthy,Mabutho 'Kid' Sithole,Nick Nolte,Fana Mokoena,Jeremiah Ndlovu,Lebo Mashile,Antonio David Lyons,Leleti Khumalo,Kgomotso Seitshohlo,Lerato Mokgotho",English,United Kingdom
Les nuits de Cabiria,Original title: Le notti di Cabiria,8.1,Drama,"October 16, 1957 (France)","1,h, ,50,m",A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Tous publics,"Giulietta Masina,François Périer,Franca Marzi,Dorian Gray,Aldo Silvani,Ennio Girolami,Mario Passante,Christian Tassou,Amedeo Nazzari,Gianni Baghino,Franco Balducci,Ciccio Barbi,Jusy Boncinelli,Loretta Capitoli,Leo Catozzo,Dominique Delouche,Edda Evangelista,Franco Fabrizi",Italian,Italy
,Original title: Life of Brian,8.1,Comedy,"April 8, 1980 (France)","1,h, ,34,m","Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Tous publics,"Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,Eric Idle,Terry Jones,Terence Bayler,Carol Cleveland,Kenneth Colley,Neil Innes,Charles McKeown,John Young,Gwen Taylor,Sue Jones-Davies,Peter Brett,John Case,Chris Langham,Andrew MacLachlan",English,United Kingdom
